id,userId,teamId,title,text,cheers
1,600,442,Winning Streak,consectetur adipiscing elit,161
2,202,377,Who's the Caboose?,consectetur adipiscing elit,121
3,524,574,Dead Reckoning,quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident,947
4,902,134,Where the Boys Are,consectetur adipiscing elit,526
5,33,156,"Journey of August King, The",quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident,963
6,195,989,As If I Didn't Exist (Elina - Som om jag inte fanns),sunt in culpa qui officia deserunt mollit anim id est laborum.,305
7,357,795,Hombre,sunt in culpa qui officia deserunt mollit anim id est laborum.,686
8,739,568,Treed Murray,sunt in culpa qui officia deserunt mollit anim id est laborum.,160
9,939,374,Monsieur Ibrahim (Monsieur Ibrahim et les fleurs du Coran),consectetur adipiscing elit,286
10,272,549,Hysterical Blindness,consectetur adipiscing elit,679
11,227,236,Revengers Tragedy,quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident,904
12,243,30,My Way (Mai Wei),Lorem ipsum dolor sit amet,608
13,489,916,"Dying Gaul, The",consectetur adipiscing elit,873
14,917,745,Crazy/Beautiful,quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident,173
15,582,914,Teenage Caveman,sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam,54
16,310,125,Before I Disappear,sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam,377
17,238,629,Back in the Saddle (Back in the Saddle Again),sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam,842
18,904,157,Beyond the Valley of the Dolls,Lorem ipsum dolor sit amet,888
19,169,89,Massacre at Central High,quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident,623
20,187,342,Operation Ganymed,Lorem ipsum dolor sit amet,349
21,185,223,"Diary of a Chambermaid (Journal d'une femme de chambre, Le)",sunt in culpa qui officia deserunt mollit anim id est laborum.,621
22,180,733,Lies (Gojitmal),sunt in culpa qui officia deserunt mollit anim id est laborum.,394
23,227,900,Shrek Forever After (a.k.a. Shrek: The Final Chapter),quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident,822
24,752,746,Hara-Kiri: Death of a Samurai,consectetur adipiscing elit,213
25,151,166,"Past, The (Le passé)",Lorem ipsum dolor sit amet,946
26,433,118,Barren Lives (Vidas Secas),sunt in culpa qui officia deserunt mollit anim id est laborum.,553
27,773,384,The Dot and the Line : A Romance in Lower Mathematics,consectetur adipiscing elit,592
28,3,836,Chain Lightning,sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam,590
29,1,615,"Marcello Mastroianni: I Remember Yes, I Remember (Marcello Mastroianni: mi ricordo, sì, io mi ricordo)",sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam,303
30,498,432,"Honey Pot, The",sunt in culpa qui officia deserunt mollit anim id est laborum.,500
31,619,349,Crocodile Dundee in Los Angeles,consectetur adipiscing elit,45
32,17,167,As Good as Dead,sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam,106
33,315,425,W Delta Z (a.k.a. The Killing Gene),consectetur adipiscing elit,112
34,567,117,Two Moon Junction,consectetur adipiscing elit,351
35,570,696,Millennium,sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam,880
36,789,896,Gabriel Over the White House,sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam,170
37,785,122,"Edward, My Son",sunt in culpa qui officia deserunt mollit anim id est laborum.,770
38,157,576,Liebelei,sunt in culpa qui officia deserunt mollit anim id est laborum.,804
39,392,804,Cold Prey (Fritt Vilt),quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident,910
40,811,750,"Wild One, The",sunt in culpa qui officia deserunt mollit anim id est laborum.,389
41,265,49,"Bunch Of Amateurs, A",Lorem ipsum dolor sit amet,184
42,26,926,Amazing Grace,Lorem ipsum dolor sit amet,429
43,810,883,"Battle for Marjah, The",sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam,333
44,127,472,"White Stripes Under Great White Northern Lights, The",consectetur adipiscing elit,349
45,257,828,Vengeance: The Story of Tony Cimo,Lorem ipsum dolor sit amet,256
46,939,358,Ciao Bella,sunt in culpa qui officia deserunt mollit anim id est laborum.,857
47,382,754,Inserts,Lorem ipsum dolor sit amet,985
48,311,583,The Great Gatsby,Lorem ipsum dolor sit amet,69
49,662,58,"Ninth Configuration, The (a.k.a. Twinkle, Twinkle, Killer Kane)",quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident,374
50,632,425,Beyond Hypothermia (Sip si 32 doe),sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam,865
51,296,880,Torment,sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam,559
52,962,113,Tom Jones,Lorem ipsum dolor sit amet,709
53,248,231,Focus,sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam,35
54,848,320,Into the Storm,sunt in culpa qui officia deserunt mollit anim id est laborum.,51
55,88,990,Arbitrage,Lorem ipsum dolor sit amet,439
56,903,682,"Flame of New Orleans, The",quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident,23
57,544,783,Rasputin,sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam,826
58,967,786,The Butterfly Effect 3: Revelations,consectetur adipiscing elit,12
59,378,98,Bonfire of the Vanities,sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam,134
60,285,243,Alien Raiders,Lorem ipsum dolor sit amet,127
61,200,114,Strange Magic,quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident,918
62,267,496,Sweet Mud (Adama Meshuga'at),sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam,381
63,882,851,Beauty and the Beast: The Enchanted Christmas,Lorem ipsum dolor sit amet,813
64,846,493,Squeeze,sunt in culpa qui officia deserunt mollit anim id est laborum.,554
